54	0.18933168 -0.24583465 -0.104789525 0.037151404 -0.062092993 0.43194035 0.06831146 0.29706427 0.2817324 0.23981142 0.072479725 0.113161914 0.2780337 -0.3028062 -0.32117587 0.09746209 -0.012275912 -0.08675285 -0.06774706 0.28065008 -0.066064075 0.24737409 -0.053636402 -0.4251439 -0.303648 -0.22217675 -0.06916845 0.19993635 0.3408125 -0.049328238 -0.5933332 0.20348065 -0.16703191 0.36671185 -0.21124582 0.11657543 -0.036597516 -0.009543922 0.16210149 -0.034044754 0.09127581 0.32945418 0.07706268 -0.61240286 0.0074269306 -0.08904792 0.118858375 -0.561359 0.206003 0.11773766 0.08780499 0.111632675 -0.5789279 -0.084870085 0.155684 -0.0103646815 -0.3381271 0.24601096 0.026414111 0.17134784 -0.18097758 0.010241082 -0.10297108 0.06470111
80	0.1231137 -0.1734431 0.013693951 0.20481917 0.06695902 0.32294846 -0.014242975 0.260429 0.18528771 0.21658586 -0.07360959 0.035764366 0.218151 -0.23910561 -0.22019766 0.009350441 0.16198032 0.0474602 0.043873154 0.20254457 0.05007586 0.23279323 -0.14362937 -0.5249255 -0.30349338 -0.13272858 -0.008427113 0.34865564 0.4248566 -0.082595386 -0.49090156 0.11597728 -0.06732566 0.32263651 -0.09951839 -0.01650868 0.095413595 0.06502036 0.074061126 -0.14508764 -0.060638066 0.27646822 -0.034637786 -0.5258315 0.15603667 0.03236454 0.08767845 -0.47623727 0.11627564 0.03343945 0.21980906 0.04849174 -0.49278665 -0.008267207 0.05176615 0.16634461 -0.31392866 0.1781643 -0.101543255 0.07310872 -0.16477937 -0.114485644 -0.27995533 -0.08504181
138	0.030097138 -0.10569675 0.014087949 0.11581491 0.07233823 0.20928068 -0.073704086 0.15624465 0.12741521 0.10974295 -0.04489994 0.06922604 0.117530614 -0.119563736 -0.14767617 -0.057709444 0.09299515 0.08831641 0.07117778 0.1413389 0.03441698 0.12750204 -0.079711184 -0.18218893 -0.1632905 -0.10328714 0.039960988 0.15421788 0.21568249 -0.089312 -0.2884434 0.024772339 -0.05981105 0.17317984 -0.04514523 0.014902946 0.036445647 0.021478612 0.04984019 -0.08070528 -0.032148976 0.12848416 0.03133528 -0.3166607 0.04559216 0.019377815 0.05335664 -0.29375574 0.08150867 -0.033794343 0.01513314 -0.018812772 -0.29971635 0.020703577 0.037143018 0.07591342 -0.18827452 0.055088993 -0.035224576 0.05935567 -0.11910041 -0.115078256 -0.18348671 0.0022872668
84	0.08438315 -0.12739 -0.004583517 0.20367038 0.05364677 0.15524887 -0.03511028 0.18491669 0.07617676 0.10088992 -0.05948768 -0.045866113 0.12395433 -0.16656372 -0.09479578 -0.01710795 0.14767458 0.03941745 0.04600919 0.107820794 0.08657204 0.11968995 -0.097416505 -0.35474128 -0.18842173 -0.08388305 0.085998654 0.21593821 0.32056066 -0.15220915 -0.22306295 0.05223574 -0.021847943 0.15450466 -0.073042974 -0.027406506 0.082064755 0.06332059 0.03434486 -0.23088108 -0.10021977 0.16242766 -0.02792564 -0.24120705 0.12043056 0.04481179 0.00035930052 -0.21279673 0.08388529 -0.095630065 0.16954823 -0.020144263 -0.24615245 0.048534617 -0.018149897 0.08889082 -0.19645408 0.10534985 -0.13669345 0.10418564 -0.06201166 -0.12720495 -0.23113516 -0.074996166
37	-0.14429349 0.047161005 0.06083352 0.046087235 0.052131113 0.0142685855 -0.035493948 -0.117080815 -0.041294366 -0.10254949 -0.035621 -0.12817845 -0.047662184 0.08234783 0.01463934 -0.03483307 0.07036919 0.06370374 0.011118517 -0.074927285 0.042491645 -0.124568105 -0.0807371 -0.21932636 0.08310695 0.07642996 0.09026243 0.15664032 0.15600792 -0.05537444 -0.14562331 -0.06549281 0.07790792 -0.07334337 0.072985545 -0.07431402 0.084313594 0.097661555 -0.07409163 -0.08389654 -0.051176734 -0.061677568 -0.09102833 -0.13594481 0.11181955 0.090474136 -0.09875052 -0.081169344 -0.08053045 -0.03253846 0.18539995 -0.031321976 -0.13033138 0.108629756 -0.07254653 0.046754092 0.0557004 -0.042312644 -0.058724746 -0.09355073 0.12469172 -0.04930172 -0.07322355 -0.10599627
79	0.3025928 -0.47607487 -0.39097595 -0.28526515 -0.364873 0.57221997 0.3794062 0.41873452 0.46583334 0.31209868 0.37817353 0.1993294 0.4814486 -0.45883176 -0.4331953 0.4065174 -0.2853294 -0.3759686 -0.36941803 0.49140173 -0.23228681 0.26833794 0.122026786 -0.26743183 -0.34930038 -0.41083515 -0.18602785 0.07692653 0.16639714 0.07042951 -0.76392174 0.41423783 -0.37108243 0.41278183 -0.38429007 0.40263507 -0.36149573 -0.123113066 0.3441053 0.10517706 0.38732567 0.46454036 0.29222426 -0.75872856 -0.20649372 -0.35992682 0.25105426 -0.65541744 0.442383 0.34849304 -0.0740816 0.29839763 -0.7411176 -0.18930362 0.35911924 -0.37479806 -0.4215147 0.53213525 0.28538844 0.3563309 -0.27115557 0.30399615 0.2237995 0.2530418
262	0.17854354 -0.18731146 -0.3429637 -0.20966084 -0.31014895 -0.26118994 0.38984555 0.19054167 0.25056523 0.15979174 0.37184638 0.09203835 0.08242362 -0.30001056 0.14614204 0.3631894 -0.2863612 -0.35375956 -0.31386197 0.2626194 -0.23818351 0.12377418 0.23812574 0.08136316 -0.14305073 -0.3186894 -0.1903009 -0.16536167 -0.10244834 0.1849863 0.5090027 0.33533955 -0.28930053 -0.10386944 -0.25952712 0.20136856 -0.35328233 -0.19029847 0.23795357 0.20906878 0.16455418 0.1202005 0.26278204 0.53228366 -0.25004026 -0.3152427 0.17585063 0.56813496 0.1976275 0.2666092 -0.1278894 0.32930323 0.5387466 -0.18205786 0.29293615 -0.31655043 -0.15498906 0.3488818 0.27613848 0.23151419 -0.16869795 0.32767037 0.34458303 0.23812406
119	-0.11028205 0.07883802 0.024189252 -0.067229524 0.057875603 0.013485981 -0.056165814 -0.18054625 -0.087976314 -0.14781842 -0.021681327 -0.06355354 -0.07154336 0.17525442 -0.0063910335 -0.058209684 -0.0074329413 0.026562702 0.044375345 -0.119393624 0.051954873 -0.15039998 -0.041398447 -0.0036041876 0.18064399 0.080434605 0.047465805 0.08395767 0.025390476 -0.08129477 -0.12190889 -0.08467699 0.09916557 -0.06282997 0.13431606 0.015671723 0.0164703 0.096661925 -0.06279737 -0.048251793 0.030698415 -0.09436187 -0.04755511 -0.09860544 0.028564554 0.024638375 -0.06613255 -0.088965215 -0.06115543 -0.0631876 0.037509203 -0.052880302 -0.115334146 0.06836937 -0.09288206 -0.017350746 0.16205361 -0.11365748 0.023942612 -0.09828652 0.113477975 -0.018774938 0.043398388 -0.057812363
239	0.15309602 -0.27763137 -0.16659111 -0.037291683 -0.12646548 0.4992339 0.13050099 0.2771888 0.28101307 0.22043104 0.13653973 0.15539354 0.34129173 -0.29903826 -0.3770622 0.14484477 -0.08252382 -0.11919169 -0.09614354 0.2750439 -0.05788693 0.22448745 -0.011722449 -0.37579012 -0.2652595 -0.21126759 -0.11273785 0.28747883 0.3104392 -0.06307835 -0.68252707 0.21912663 -0.20315844 0.40079665 -0.18956077 0.17104968 -0.10208759 -0.0057669673 0.1767726 -0.036555838 0.16251221 0.36370516 0.091546886 -0.6993551 -0.02332849 -0.10928357 0.16542226 -0.6533024 0.2478391 0.20026465 0.085941955 0.14236984 -0.6795593 -0.07635288 0.17043065 -0.041813124 -0.2984891 0.30589378 0.09864237 0.17301582 -0.2028558 0.069059014 -0.027254358 0.0642823
65	0.12350911 -0.22734964 -0.19743031 -0.18804708 -0.18163726 0.37380207 0.17927489 0.18620867 0.1944542 0.12567475 0.19065693 0.18237306 0.27745268 -0.18610486 -0.29356146 0.25398916 -0.20116988 -0.1422687 -0.18045455 0.24656099 -0.15827936 0.1390248 0.046496116 -0.080102146 -0.077022195 -0.19190042 -0.15405923 0.13944551 0.086282365 0.025214417 -0.59369063 0.21659179 -0.18418136 0.25421023 -0.1747551 0.22863393 -0.20537376 -0.046724558 0.18098077 0.06915407 0.2766351 0.22499946 0.18654588 -0.5613407 -0.17181998 -0.18928874 0.2166051 -0.5249189 0.22067931 0.23316313 -0.042632133 0.18786147 -0.5755393 -0.14993814 0.18420881 -0.21506831 -0.15235749 0.23785417 0.23320256 0.18309759 -0.1840389 0.21376823 0.1533685 0.1815318
